XCoord,YCoord,RASTERVALU,DISTANCE
585204.77400000,4732332.76400000,548.366028,0.000000
585204.80100000,4732332.80700000,548.335205,0.050000
585204.82700000,4732332.84900000,548.318420,0.100000
585204.85400000,4732332.89200000,548.318420,0.150000
585204.88000000,4732332.93400000,548.289185,0.200000
585204.90700000,4732332.97600000,548.289185,0.250000
585204.93300000,4732333.01900000,548.289185,0.300000
585204.96000000,4732333.06100000,548.267090,0.350000
585204.98600000,4732333.10400000,548.267090,0.400000
585205.01300000,4732333.14600000,548.267090,0.450000
585205.03900000,4732333.18800000,548.251465,0.500000
585205.06600000,4732333.23100000,548.251465,0.550000
585205.09200000,4732333.27300000,548.246277,0.600000
585205.11900000,4732333.31600000,548.242920,0.650000
585205.14500000,4732333.35800000,548.242920,0.700000
585205.17200000,4732333.40100000,548.242920,0.750000
585205.19800000,4732333.44300000,548.282532,0.800000
585205.22500000,4732333.48500000,548.282532,0.850000
585205.25100000,4732333.52800000,548.352722,0.900000
585205.27800000,4732333.57000000,548.352722,0.950000
585205.30400000,4732333.61300000,548.352722,1.000000
585205.33100000,4732333.65500000,548.397217,1.050000
585205.35700000,4732333.69700000,548.397217,1.100000
585205.38400000,4732333.74000000,548.397217,1.150000
585205.41000000,4732333.78200000,548.473572,1.200000
585205.43700000,4732333.82500000,548.473572,1.250000
585205.46300000,4732333.86700000,548.453918,1.300000
585205.49000000,4732333.90900000,548.562561,1.350000
585205.51600000,4732333.95200000,548.562561,1.400000
585205.54300000,4732333.99400000,548.562561,1.450000
585205.56900000,4732334.03700000,548.607727,1.500000
