Length;Depth until soil surface;Water Depth;Water height;Depth until water surface
0;0;0;0;0
0.05;0.01;0;0;0.01
0.1;0.02;0;0;0.02
0.15;0.06;0;0;0.06
0.2;0.08;0;0;0.08
0.25;0.09;0;0;0.09
0.3;0.09;0;0;0.09
0.35;0.12;0;0;0.12
0.4;0.14;0;0;0.14
0.45;0.16;0;0;0.16
0.5;0.2;0;0;0.2
0.55;0.33;0;0;0.33
0.6;0.47;0;0;0.47
0.65;0.49;0;0;0.49
0.7;0.52;0.01;0.51;0.51
0.75;0.53;0.02;0.51;0.51
0.8;0.55;0.05;0.5;0.5
0.85;0.54;0.04;0.5;0.5
0.9;0.55;0.05;0.5;0.5
0.95;0.54;0.04;0.5;0.5
1;0.52;0.01;0.51;0.51
1.05;0.4;0;0;0.4
1.1;0.4;0;0;0.4
1.15;0.27;0;0;0.27
1.2;0.28;0;0;0.28
1.25;0.24;0;0;0.24
1.3;0.16;0;0;0.16
1.35;0.16;0;0;0.16
1.4;0.14;0;0;0.14
1.45;0.12;0;0;0.12
1.5;0.05;0;0;0.05
1.55;0;0;0;0
